fishing_vessel_mmsi,transshipment_vessel_mmsi,start_time,end_time,mean_latitude,mean_longitude,duration_hr,median_distance_km,median_speed_knots,coordinates,country,iso_3
367176240,367526070,2013-06-27 06:00:00+00:00,2013-06-27 09:10:00+00:00,58.7093042849,-157.2421220498,3.1666666666666665,0.012551876100000001,0.0582262963,"(58.7093042849, -157.2421220498)",,
367176240,367526070,2012-05-19 23:10:00+00:00,2012-05-20 08:20:00+00:00,58.92954181,-160.3470818052,9.166666666666666,0.0177361906,0.0183936541,"(58.92954181, -160.3470818052)",,
367176240,367526070,2017-05-02 05:40:00+00:00,2017-05-02 18:20:00+00:00,58.9475070614,-160.34470359510001,12.666666666666664,0.0105462024,0.058904790199999994,"(58.9475070614, -160.34470359510001)",,
367176240,367526070,2017-07-04 03:40:00+00:00,2017-07-04 06:20:00+00:00,58.824650762964524,-158.58825644811614,2.6666666666666665,0.01440462385,0.0241386058,"(58.824650762964524, -158.58825644811614)",,
367176240,367526070,2016-06-29 11:20:00+00:00,2016-06-29 17:30:00+00:00,58.6877197224,-157.2837567082,6.166666666666668,0.018401386000000002,0.0271062854,"(58.6877197224, -157.2837567082)",,
367176240,367526070,2016-04-22 14:30:00+00:00,2016-04-22 22:20:00+00:00,58.9475716572,-160.35127111361308,7.833333333333332,0.012661322150000001,0.021134378500000002,"(58.9475716572, -160.35127111361308)",,
367176240,367526070,2012-06-16 07:20:00+00:00,2012-06-16 10:40:00+00:00,58.689487879050006,-157.27432194145,3.333333333333333,0.0191339292,0.01905806375,"(58.689487879050006, -157.27432194145)",,
367176240,367526070,2017-05-05 11:10:00+00:00,2017-05-06 05:00:00+00:00,58.94761413787978,-160.3433259381101,17.833333333333332,0.0120593843,0.0155835585,"(58.94761413787978, -160.3433259381101)",,
367176240,367526070,2016-04-29 05:30:00+00:00,2016-04-29 13:00:00+00:00,58.94730026002542,-160.35280087429658,7.5,0.014846612649999999,0.025843397799999997,"(58.94730026002542, -160.35280087429658)",,
367176240,367526070,2017-05-11 06:00:00+00:00,2017-05-11 18:00:00+00:00,58.94744413105794,-160.34223585060934,12.0,0.0141194319,0.019949781,"(58.94744413105794, -160.34223585060934)",,
367176240,367526070,2017-07-08 04:20:00+00:00,2017-07-08 22:10:00+00:00,58.82478359047499,-158.590820475875,17.833333333333332,0.0121120173,0.0241500041,"(58.82478359047499, -158.590820475875)",,
367479610,367526070,2012-05-21 06:30:00+00:00,2012-05-21 09:30:00+00:00,58.93054371109999,-160.3452963482,3.0,0.034445463100000004,0.023922479500000003,"(58.93054371109999, -160.3452963482)",,
367479610,367526070,2015-04-30 07:30:00+00:00,2015-04-30 12:10:00+00:00,58.948082502806656,-160.34228087528,4.666666666666667,0.031660995250000004,0.0192306806,"(58.948082502806656, -160.34228087528)",,
367479610,367526070,2017-05-07 04:50:00+00:00,2017-05-07 21:30:00+00:00,58.94729388594108,-160.344304795325,16.666666666666668,0.027060626400000003,0.028390344100000003,"(58.94729388594108, -160.344304795325)",,
367479610,367526070,2015-05-03 09:00:00+00:00,2015-05-03 11:10:00+00:00,58.947365677200004,-160.3434553028,2.1666666666666665,0.033746837,0.0038007373,"(58.947365677200004, -160.3434553028)",,
367479610,367526070,2017-05-02 19:50:00+00:00,2017-05-02 21:50:00+00:00,58.946507777700006,-160.3438248637,2.0,0.0317422292,0.011628171100000001,"(58.946507777700006, -160.3438248637)",,
367479610,367526070,2017-07-16 02:30:00+00:00,2017-07-16 06:40:00+00:00,58.8240274099,-158.5891718336,4.166666666666667,0.032058739700000005,0.10081892640000001,"(58.8240274099, -158.5891718336)",,
366845000,367526070,2017-05-06 08:10:00+00:00,2017-05-06 18:30:00+00:00,58.94794823588125,-160.34470159787813,10.333333333333334,0.0102717324,0.0240702501,"(58.94794823588125, -160.34470159787813)",,
366845000,367526070,2015-05-06 06:20:00+00:00,2015-05-06 11:50:00+00:00,58.9470941518,-160.34461489345,5.5,0.0156194002,0.0393454154,"(58.9470941518, -160.34461489345)",,
366845000,367526070,2016-07-15 11:40:00+00:00,2016-07-15 13:50:00+00:00,58.6876015296,-157.2890586893,2.1666666666666665,0.0131953597,0.0306634318,"(58.6876015296, -157.2890586893)",,
366845000,367526070,2016-07-13 02:30:00+00:00,2016-07-13 05:10:00+00:00,58.688096887300006,-157.2822871519,2.6666666666666665,0.0099143662,0.028305338500000003,"(58.688096887300006, -157.2822871519)",,
366845000,367526070,2017-05-01 18:10:00+00:00,2017-05-01 23:40:00+00:00,58.946704295,-160.34487682530002,5.5,0.0101768304,0.0094583195,"(58.946704295, -160.34487682530002)",,
366845000,367526070,2015-05-10 06:10:00+00:00,2015-05-10 10:20:00+00:00,58.94618803485898,-160.34335400614873,4.166666666666667,0.0163199006,0.0156928625,"(58.94618803485898, -160.34335400614873)",,
366845000,367526070,2017-05-09 08:00:00+00:00,2017-05-09 11:20:00+00:00,58.947997895,-160.3427604805,3.333333333333333,0.0110667026,0.0086895813,"(58.947997895, -160.3427604805)",,
367008590,367526070,2014-07-02 22:30:00+00:00,2014-07-03 01:00:00+00:00,58.70677940280001,-157.2391512574,2.5,0.0109497745,0.2067762661,"(58.70677940280001, -157.2391512574)",,
367008590,367526070,2012-07-01 22:40:00+00:00,2012-07-02 01:00:00+00:00,58.68883684635,-157.27449542365,2.333333333333333,0.0167949163,0.0070999109,"(58.68883684635, -157.27449542365)",,
367008590,367526070,2014-05-05 21:00:00+00:00,2014-05-06 00:20:00+00:00,58.9299779192,-160.3447058879,3.333333333333333,0.0164828324,0.011909328799999999,"(58.9299779192, -160.3447058879)",,
367011410,367526070,2014-05-11 18:00:00+00:00,2014-05-11 21:20:00+00:00,58.9294080812,-160.3491906852,3.333333333333333,0.2416743761,0.0674853554,"(58.9294080812, -160.3491906852)",,
367011410,367526070,2015-07-04 07:30:00+00:00,2015-07-04 10:30:00+00:00,58.68920295652572,-157.29203016152857,3.0,0.00781441825,0.046258355999999994,"(58.68920295652572, -157.29203016152857)",,
367011410,367526070,2015-06-20 14:40:00+00:00,2015-06-20 17:50:00+00:00,58.68848802390001,-157.2935933358,3.1666666666666665,0.3537377506,0.051104995199999996,"(58.68848802390001, -157.2935933358)",,
367011410,367526070,2016-07-11 03:00:00+00:00,2016-07-11 06:30:00+00:00,58.6876836098,-157.2821438743,3.5,0.011254408200000001,0.0067524851,"(58.6876836098, -157.2821438743)",,
367011410,367526070,2016-04-23 08:40:00+00:00,2016-04-23 19:50:00+00:00,58.948410881680005,-160.35113763247998,11.166666666666664,0.0102964758,0.0215948549,"(58.948410881680005, -160.35113763247998)",,
366761830,367526070,2015-05-13 03:20:00+00:00,2015-05-13 07:20:00+00:00,58.9480055055,-160.3428201182,4.0,0.0378395276,0.0047281702,"(58.9480055055, -160.3428201182)",,
338673000,367526070,2016-07-17 22:30:00+00:00,2016-07-18 08:10:00+00:00,58.6874891876,-157.282775585,9.666666666666666,0.0352039223,0.0254319387,"(58.6874891876, -157.282775585)",,
338673000,367526070,2016-07-14 16:10:00+00:00,2016-07-15 03:10:00+00:00,58.688354912712,-157.28714419699597,11.0,0.03545940795,0.05323726835,"(58.688354912712, -157.28714419699597)",,
338673000,367526070,2017-07-13 06:40:00+00:00,2017-07-13 21:40:00+00:00,58.824117696470346,-158.5912506793797,15.0,0.026743555699999998,0.0150010672,"(58.824117696470346, -158.5912506793797)",,
367119230,367526070,2017-05-12 00:50:00+00:00,2017-05-12 04:00:00+00:00,58.94773598860001,-160.3429004008,3.1666666666666665,0.0266451225,0.0166694582,"(58.94773598860001, -160.3429004008)",,
367119230,367526070,2017-05-01 06:30:00+00:00,2017-05-01 13:50:00+00:00,58.94764927561923,-160.3441777140577,7.333333333333332,0.0305537487,0.0149253899,"(58.94764927561923, -160.3441777140577)",,
367119230,367526070,2015-05-05 09:30:00+00:00,2015-05-05 12:10:00+00:00,58.94791645960001,-160.34343281440002,2.6666666666666665,0.029851399,0.010974876100000001,"(58.94791645960001, -160.34343281440002)",,
367119230,367526070,2016-07-20 21:40:00+00:00,2016-07-21 00:00:00+00:00,58.6871714745,-157.28257837450002,2.333333333333333,0.0262480096,0.0356476007,"(58.6871714745, -157.28257837450002)",,
366916740,367526070,2016-07-17 04:40:00+00:00,2016-07-17 07:00:00+00:00,58.68897502465,-157.2842745507,2.333333333333333,0.0439933049,0.07719710935,"(58.68897502465, -157.2842745507)",,
366758570,367526070,2012-07-04 21:30:00+00:00,2012-07-05 00:30:00+00:00,58.69038445889999,-157.2733373031,3.0,0.0399708783,0.041196362400000006,"(58.69038445889999, -157.2733373031)",,
367390380,367526070,2016-04-27 17:30:00+00:00,2016-04-28 18:10:00+00:00,58.94741220598572,-160.35331415897778,24.66666666666667,0.0796808728,0.02367850275,"(58.94741220598572, -160.35331415897778)",,
367504570,367526070,2017-07-02 21:40:00+00:00,2017-07-03 07:20:00+00:00,58.8250408767,-158.5903359489,9.666666666666666,0.0335264502,0.0050333943,"(58.8250408767, -158.5903359489)",,
366338750,367526070,2013-06-21 08:50:00+00:00,2013-06-22 00:30:00+00:00,58.70981007357747,-157.24400363363694,15.666666666666664,0.37363824100000004,0.011664362,"(58.70981007357747, -157.24400363363694)",,
367409350,367526070,2017-07-09 22:40:00+00:00,2017-07-10 01:10:00+00:00,58.82552324255861,-158.5923714541793,2.5,0.0190751806,0.018409342,"(58.82552324255861, -158.5923714541793)",,
367409350,367526070,2016-07-01 06:40:00+00:00,2016-07-01 09:30:00+00:00,58.687764961599996,-157.2816929068,2.833333333333333,0.025162438199999998,0.015020992700000001,"(58.687764961599996, -157.2816929068)",,
367409350,367526070,2012-05-14 19:30:00+00:00,2012-05-14 23:20:00+00:00,58.929733259449996,-160.3393921549,3.8333333333333335,0.0268776233,0.020040081499999998,"(58.929733259449996, -160.3393921549)",,
367409350,367526070,2014-06-28 23:00:00+00:00,2014-06-29 09:30:00+00:00,58.70724485288982,-157.23832915630086,10.5,0.025996112749999998,0.0345049304,"(58.70724485288982, -157.23832915630086)",,
367409350,367526070,2013-05-06 19:30:00+00:00,2013-05-07 00:40:00+00:00,58.93032126921633,-160.34750687109798,5.166666666666667,0.0231500619,0.0293131401,"(58.93032126921633, -160.34750687109798)",,
367409350,367526070,2015-07-15 05:40:00+00:00,2015-07-15 07:40:00+00:00,58.689693876999996,-157.29419094279996,2.0,0.029573736099999998,0.1610939949,"(58.689693876999996, -157.29419094279996)",,
367409350,367526070,2016-06-28 14:50:00+00:00,2016-06-28 16:50:00+00:00,58.6882760086,-157.281962681,2.0,0.0399508687,0.0098828734,"(58.6882760086, -157.281962681)",,
367409350,367526070,2013-05-25 11:30:00+00:00,2013-05-25 15:10:00+00:00,58.930480340550005,-160.3501937354,3.6666666666666665,0.0271446099,0.031521480750000004,"(58.930480340550005, -160.3501937354)",,
367409350,367526070,2013-05-21 20:00:00+00:00,2013-05-22 12:50:00+00:00,58.9305209223,-160.3501068514,16.833333333333332,0.0237218031,0.0016863173,"(58.9305209223, -160.3501068514)",,
367409350,367526070,2014-06-27 01:50:00+00:00,2014-06-27 05:50:00+00:00,58.705938609700006,-157.24235304180002,4.0,0.0310712482,0.046826149000000004,"(58.705938609700006, -157.24235304180002)",,
367561420,367526070,2015-06-19 11:00:00+00:00,2015-06-19 15:30:00+00:00,58.6887560319,-157.2919149182,4.5,0.46423066420000003,0.010603533799999999,"(58.6887560319, -157.2919149182)",,
367561420,367526070,2015-07-16 07:10:00+00:00,2015-07-17 02:00:00+00:00,58.689770502795454,-157.29171670165002,18.83333333333333,0.01523575195,0.0275097628,"(58.689770502795454, -157.29171670165002)",,
367578320,367526070,2017-07-11 04:10:00+00:00,2017-07-11 15:00:00+00:00,58.82380378747438,-158.59151555799147,10.833333333333336,0.03350699205,0.00996081425,"(58.82380378747438, -158.59151555799147)",,
367578320,367526070,2013-06-28 23:20:00+00:00,2013-06-29 05:10:00+00:00,58.7095852959145,-157.24174769934203,5.833333333333332,0.010654952050000001,0.13969916245000005,"(58.7095852959145, -157.24174769934203)",,
366936280,367526070,2013-07-03 21:00:00+00:00,2013-07-04 00:10:00+00:00,58.709008624000006,-157.2435658808,3.1666666666666665,0.025376882400000002,0.0285185827,"(58.709008624000006, -157.2435658808)",,
